IDBOOK;IDSCHOOL;IDCLASS;IDSTUD;ITSEX;ASDAGE;ILRELIAB;ASBG01;ASBG03;ASBG04;JKZONE;JKREP;TOTWGT;SENWGT;ASMMAT01;ASMMAT02;ASMMAT03;ASMMAT04;ASMMAT05;ASSSCI01;ASSSCI02;ASSSCI03;ASSSCI04;ASSSCI05;ASMIBM01;ASMIBM02;ASMIBM03;ASMIBM04;ASMIBM05;ASSIBM01;ASSIBM02;ASSIBM03;ASSIBM04;ASSIBM05;ASBGDML;ASDGDML;ASBGICM;ASDGICM;ASBGICS;ASDGICS;ASBGSEC;ASDGSEC;ASBGSSB;ASDGSSB;ASBGSB;ASDGSB;ASBGSLM;ASDGSLM;ASBGSCM;ASDGSCM;ASBGSLS;ASDGSLS;ASBGSCS;ASDGSCS;ASBGVEP;ASDGVEP;ASBGDSL;ASDGDSL;ASBGHRL;ASDGHRL;ASDG05S
5;5007;500703;50070306;2;10.33;1;2;1;4;63;1;307.654528;0.045154;525.39522;526.28848;497.74107;516.42464;508.02504;638.1603;606.8074;618.73623;617.2943;655.09738;3;3;3;3;3;5;4;4;4;5;6.16447;3;7.09938;2;9.87126;1;11.12316;1;6.71821;3;7.30986;3;4.92865;3;6.13487;3;10.06643;1;13.79425;1;9.2517;2;6.44063;3;;;3
6;5007;500703;50070307;1;9.58;1;1;1;5;63;1;307.654528;0.045154;486.41836;501.04858;472.77422;474.64961;505.20447;565.02575;527.63359;525.57084;541.17916;540.50961;3;3;2;2;3;4;3;3;3;3;8.34279;3;9.79495;1;9.87126;1;9.05715;2;9.67568;1;9.14916;2;8.5828;3;7.47244;3;9.2842;2;7.87227;3;10.81893;1;7.8971;3;;;3
12;5007;500703;50070308;2;10.25;1;2;1;1;63;1;307.654528;0.045154;581.21665;595.53033;610.75287;581.12775;596.99124;595.63053;608.35317;626.37306;634.51697;617.46446;4;4;4;4;4;4;4;5;5;4;10.42846;2;8.74997;2;9.34773;1;9.68141;2;9.67568;1;9.96235;1;10.32005;2;9.80763;2;8.94599;2;9.88347;2;8.17782;2;9.1832;2;;;3
7;5007;500703;50070310;1;10.33;1;1;1;2;63;1;307.654528;0.045154;438.72183;491.4712;499.75366;463.29006;524.43379;522.63139;523.85391;532.57998;523.04498;576.27434;2;3;3;2;3;3;3;3;3;4;6.16447;3;6.8496;2;7.77868;2;8.52499;2;10.27009;1;10.26863;1;8.13421;3;8.40994;3;12.38129;1;13.51292;1;9.12168;2;6.44063;3;;;2
1;5007;500703;50070311;2;10.33;1;2;2;2;63;1;307.654528;0.045154;570.38593;541.44024;530.37629;501.15872;509.07399;548.97225;610.49479;589.11227;560.7724;609.23661;4;3;3;3;3;3;4;4;4;4;7.94605;3;6.613;3;10.57193;1;10.52055;1;8.52465;2;11.22363;1;8.80779;2;8.84363;3;11.19654;1;10.24194;2;9.12168;2;8.23421;3;;;3
14;5007;500703;50070312;2;10.33;0;2;1;3;63;1;307.654528;0.045154;618.67612;578.2526;598.84494;597.85087;589.50139;614.8852;606.41795;692.57057;662.56644;579.34602;4;4;4;4;4;4;4;5;5;4;11.068;2;9.79495;1;9.34773;1;9.35473;2;8.52465;2;9.31658;2;10.32005;2;10.07795;2;10.55542;1;9.88347;2;9.8007;1;10.85434;2;;;3
8;5007;500703;50070313;1;10.42;1;1;1;4;63;1;307.654528;0.045154;610.18521;591.69633;634.44189;686.68602;646.58026;659.2973;680.46223;618.9963;655.08597;685.63747;4;4;5;5;5;5;5;4;5;5;9.43115;2;8.34228;2;7.4572;2;10.52055;1;8.84474;2;11.31834;1;9.26928;2;10.71625;2;10.06643;1;11.21249;1;9.12168;2;8.96617;2;;;2
2;5007;500703;50070314;1;10.25;1;1;2;5;63;1;307.654528;0.045154;663.3092;689.43848;719.65444;714.04373;671.55557;692.19323;680.9413;646.0098;703.32215;679.21203;5;5;5;5;5;5;5;5;5;5;10.72806;2;12.0657;1;11.89622;1;14.00922;1;10.27009;1;11.31834;1;11.57546;1;14.24115;1;11.19654;1;13.79425;1;10.81893;1;10.48834;2;;;2
9;5007;500703;50070315;2;10.42;0;2;4;5;63;1;307.654528;0.045154;343.43287;334.44123;339.198;325.08095;323.30534;327.67652;317.20489;315.42508;295.32861;348.77055;1;1;1;1;1;1;1;1;1;1;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;;;1
10;5007;500703;50070316;1;10.33;1;1;2;3;63;1;307.654528;0.045154;575.7379;487.27287;559.91566;540.12072;559.12402;587.56783;528.69823;551.06703;612.4439;539.72391;4;3;4;3;4;4;3;4;4;3;8.66094;2;9.79495;1;8.90139;2;10.06032;2;9.21853;2;12.77213;1;10.02905;2;10.07795;2;11.19654;1;10.6627;1;9.8007;1;8.96617;2;;;3
11;5007;500703;50070317;2;10.17;1;2;1;4;63;1;307.654528;0.045154;665.48202;745.72026;775.96751;631.44414;669.89687;670.4446;723.19885;743.95728;638.57432;711.5355;5;5;5;5;5;5;5;5;5;5;10.15868;2;12.0657;1;10.57193;1;12.03529;1;12.85659;1;10.67995;1;10.64878;1;12.47985;1;10.55542;1;11.21249;1;12.93917;1;10.16468;2;;;2
3;5007;500703;50070318;1;9.92;0;1;1;3;63;1;307.654528;0.045154;389.81589;409.18961;421.04914;480.85339;437.66354;412.57821;468.02649;473.52424;423.94049;434.24797;1;2;2;3;2;2;2;2;2;2;7.94605;3;9.79495;1;11.89622;1;10.06032;2;9.21853;2;9.5024;2;11.57546;1;9.07994;2;12.38129;1;9.88347;2;9.8007;1;7.8971;3;;;3
12;5007;500703;50070319;2;10.75;0;2;1;4;63;1;307.654528;0.045154;590.96683;571.60951;581.67152;596.9865;604.96579;599.74296;556.68448;665.26221;617.76941;591.59059;4;4;4;4;4;4;4;5;4;4;8.93735;2;12.0657;1;11.89622;1;14.00922;1;9.67568;1;8.58842;2;9.76169;2;12.47985;1;12.38129;1;10.6627;1;10.81893;1;8.74519;2;;;3
4;5007;500703;50070320;2;10.42;1;2;1;5;63;1;307.654528;0.045154;656.92442;675.32621;644.92979;689.05283;678.06397;625.4685;607.71986;605.56753;631.5821;587.46551;5;5;5;5;5;5;4;4;5;4;10.72806;2;12.0657;1;11.89622;1;14.00922;1;9.67568;1;12.77213;1;8.13421;3;14.24115;1;8.94599;2;13.79425;1;9.12168;2;10.48834;2;;;3
13;5007;500703;50070321;1;10.17;1;1;1;4;63;1;307.654528;0.045154;493.36303;476.17149;479.35621;477.24355;493.67394;595.21291;551.99409;600.4686;556.51298;527.65728;3;3;3;3;3;4;4;4;4;3;7.94605;3;10.57679;1;11.89622;1;9.05715;2;7.9754;2;9.71382;1;9.76169;2;9.80763;2;7.25848;3;7.53836;3;6.80498;3;6.44063;3;;;3
7;5008;500802;50080201;2;10.5;1;2;3;1;76;1;299.910139;0.044018;380.07755;356.93852;396.41592;363.76218;364.57495;412.68023;363.55471;434.55283;385.71986;445.386;1;1;1;1;1;2;1;2;1;2;9.668;2;12.0657;1;11.89622;1;9.35473;2;9.95034;1;8.58842;2;9.26928;2;8.08148;3;12.38129;1;10.6627;1;7.13564;3;9.1832;2;;;3
12;5008;500802;50080203;2;10.25;1;2;1;1;76;1;299.910139;0.044018;417.61083;372.8587;420.64449;388.4812;321.26509;397.96668;395.60062;427.58353;404.94021;320.15478;2;1;2;1;1;1;1;2;2;1;8.93735;2;12.0657;1;11.89622;1;7.55318;3;9.67568;1;12.77213;1;4.92865;3;8.84363;3;7.38964;3;9.00441;2;12.93917;1;9.88318;2;;;3
1;5008;500802;50080205;1;9.83;1;1;2;3;76;1;299.910139;0.044018;554.03594;579.98807;538.18308;469.10391;548.73974;579.88537;613.0413;622.66203;578.05434;581.26191;4;4;3;2;3;4;4;4;4;4;10.15868;2;10.57679;1;9.34773;1;12.03529;1;8.84474;2;8.11347;2;10.64878;1;10.15695;2;6.99031;3;8.17647;3;10.81893;1;10.48834;2;;;3
13;5008;500802;50080206;1;10.42;1;1;3;3;76;1;299.910139;0.044018;663.24031;625.73535;709.97139;705.4383;696.57384;653.43058;631.18056;667.43725;634.10725;642.5406;5;5;5;5;5;5;5;5;5;5;10.42846;2;9.79495;1;9.34773;1;9.35473;2;8.52465;2;10.67995;1;9.03594;2;11.66684;1;7.52054;3;7.53836;3;8.17782;2;9.88318;2;;;2
14;5008;500802;50080207;2;10.08;1;2;2;3;76;1;299.910139;0.044018;573.58911;647.63764;618.64083;608.88743;582.3761;654.17733;626.33696;611.69705;645.57895;594.0098;4;5;4;4;4;5;5;4;5;4;7.94605;3;7.65946;2;7.77868;2;8.03682;3;9.21853;2;9.96235;1;9.76169;2;10.71625;2;11.19654;1;9.56806;2;9.8007;1;8.74519;2;;;3
8;5008;500802;50080208;2;10.5;1;2;1;4;76;1;299.910139;0.044018;607.07639;593.93635;624.83716;584.31791;571.87958;662.76501;689.72283;642.07079;671.79504;584.74963;4;4;4;4;4;5;5;5;5;4;6.16447;3;8.34228;2;8.126;2;14.00922;1;7.48602;3;8.46456;2;7.32283;3;11.66684;1;10.55542;1;10.6627;1;12.93917;1;7.42279;3;;;3
2;5008;500802;50080211;1;10.17;1;1;3;5;76;1;299.910139;0.044018;620.06242;557.38191;566.10568;546.3662;583.15914;644.91646;618.55772;662.12964;574.1258;656.76727;4;4;4;3;4;5;4;5;4;5;8.34279;3;10.57679;1;10.57193;1;14.00922;1;12.85659;1;9.31658;2;12.58525;1;14.24115;1;12.38129;1;13.79425;1;12.93917;1;8.50611;2;;;3
